Model,Version,Subset,Algorithm,AUC-ROC,Accuracy,Precision,Recall,F1
Model A,Baseline,Validation,Logistic Regression,0.5360449735449735,0.5666666666666667,0.8674698795180723,0.5714285714285714,0.6889952153110048
Model A,Baseline,Validation,Random Forest,0.5398478835978836,0.82,0.8367346938775511,0.9761904761904762,0.9010989010989011
Model A,Baseline,Validation,XGBoost,0.5710978835978836,0.78,0.8444444444444444,0.9047619047619048,0.8735632183908046
Model A,Baseline,Validation,LightGBM,0.5393518518518517,0.7266666666666667,0.8455284552845529,0.8253968253968254,0.8353413654618473
Model A,Baseline,Validation,CatBoost,0.5618386243386243,0.7133333333333334,0.8429752066115702,0.8095238095238095,0.8259109311740891
Model B,Baseline,Validation,Logistic Regression,0.5357142857142857,0.54,0.8701298701298701,0.5317460317460317,0.6600985221674877
Model B,Baseline,Validation,Random Forest,0.5305886243386243,0.8333333333333334,0.8389261744966443,0.9920634920634921,0.9090909090909091
Model B,Baseline,Validation,XGBoost,0.5558862433862434,0.8133333333333334,0.8450704225352113,0.9523809523809523,0.8955223880597015
Model B,Baseline,Validation,LightGBM,0.558531746031746,0.7466666666666667,0.8492063492063492,0.8492063492063492,0.8492063492063492
Model B,Baseline,Validation,CatBoost,0.5264550264550264,0.78,0.8444444444444444,0.9047619047619048,0.8735632183908046
Model A,Tuned,Validation,Logistic Regression,0.5386904761904763,0.56,0.875,0.5555555555555556,0.6796116504854369
Model A,Tuned,Validation,Random Forest,0.5472883597883598,0.8066666666666666,0.8344827586206897,0.9603174603174603,0.8929889298892989
Model A,Tuned,Validation,XGBoost,0.5211640211640212,0.82,0.8367346938775511,0.9761904761904762,0.9010989010989011
Model A,Tuned,Validation,LightGBM,0.5681216931216931,0.7133333333333334,0.8547008547008547,0.7936507936507936,0.823045267489712
Model A,Tuned,Validation,CatBoost,0.5750661375661376,0.7,0.8584070796460177,0.7698412698412699,0.8117154811715481
Model B,Tuned,Validation,Logistic Regression,0.5353835978835979,0.5466666666666666,0.8717948717948718,0.5396825396825397,0.6666666666666666
Model B,Tuned,Validation,Random Forest,0.5233134920634921,0.8333333333333334,0.8389261744966443,0.9920634920634921,0.9090909090909091
Model B,Tuned,Validation,XGBoost,0.5535714285714286,0.8,0.8380281690140845,0.9444444444444444,0.8880597014925373
Model B,Tuned,Validation,LightGBM,0.5353835978835979,0.7466666666666667,0.8492063492063492,0.8492063492063492,0.8492063492063492
Model B,Tuned,Validation,CatBoost,0.5565476190476191,0.76,0.8260869565217391,0.9047619047619048,0.8636363636363636
